"","borough","year","party","seats","leader","clerk","control"
"1120.3","Lambeth",1983,"Liberal Democrats",5,"Ted Knight","John George","No Overall Control"
"1121.1","Lambeth",1984,"Labour Party",32,"Ted Knight","John George","No Overall Control"
"1121.2","Lambeth",1984,"Conservative",27,"Ted Knight","John George","No Overall Control"
"1121.3","Lambeth",1984,"Liberal Democrats",5,"Ted Knight","John George","No Overall Control"
"1122.1","Lambeth",1985,"Labour Party",32,"Ted Knight","John George","No Overall Control"
"1122.2","Lambeth",1985,"Conservative",27,"Ted Knight","John George","No Overall Control"
"1122.3","Lambeth",1985,"Liberal Democrats",5,"Ted Knight","John George","No Overall Control"
"1123.1","Lambeth",1986,"Labour Party",40,"Linda Bellos","John George","Labour"
"1123.2","Lambeth",1986,"Conservative",21,"Linda Bellos","John George","Labour"
"1123.3","Lambeth",1986,"Liberal Democrats",3,"Linda Bellos","John George","Labour"
"1124.1","Lambeth",1987,"Labour Party",40,"Linda Bellos","John George","Labour"
"1124.2","Lambeth",1987,"Conservative",21,"Linda Bellos","John George","Labour"
"1124.3","Lambeth",1987,"Liberal Democrats",3,"Linda Bellos","John George","Labour"
"1125.1","Lambeth",1988,"Labour Party",40,"Dick Sorabji","John George","Labour"
"1125.2","Lambeth",1988,"Conservative",21,"Dick Sorabji","John George","Labour"
"1125.3","Lambeth",1988,"Liberal Democrats",3,"Dick Sorabji","John George","Labour"
"1126.1","Lambeth",1989,"Labour Party",40,"Joan Twelves","John George","Labour"
"1126.2","Lambeth",1989,"Conservative",21,"Joan Twelves","John George","Labour"
"1126.3","Lambeth",1989,"Liberal Democrats",3,"Joan Twelves","John George","Labour"
"1127.1","Lambeth",1990,"Labour Party",40,"Joan Twelves","Herman Ouseley","Labour"
"1127.2","Lambeth",1990,"Conservative",20,"Joan Twelves","Herman Ouseley","Labour"
"1127.3","Lambeth",1990,"Liberal Democrats",4,"Joan Twelves","Herman Ouseley","Labour"
"1128.1","Lambeth",1991,"Labour Party",40,"Joan Twelves","Herman Ouseley","Labour"
"1128.2","Lambeth",1991,"Conservative",20,"Joan Twelves","Herman Ouseley","Labour"
"1128.3","Lambeth",1991,"Liberal Democrats",4,"Joan Twelves","Herman Ouseley","Labour"
"1129.1","Lambeth",1992,"Labour Party",40,"Joan Twelves","Herman Ouseley","Labour"
"1129.2","Lambeth",1992,"Conservative",20,"Joan Twelves","Herman Ouseley","Labour"
"1129.3","Lambeth",1992,"Liberal Democrats",4,"Joan Twelves","Herman Ouseley","Labour"
"1130.1","Lambeth",1993,"Labour Party",37,"Steve Whaley","Henry Gilby","Labour"
"1130.2","Lambeth",1993,"Conservative",17,"Steve Whaley","Henry Gilby","Labour"
"1130.3","Lambeth",1993,"Liberal Democrats",9,"Steve Whaley","Henry Gilby","Labour"
"1130.4","Lambeth",1993,"Vacancies",1,"Steve Whaley","Henry Gilby","Labour"
"1131.1","Lambeth",1994,"Labour Party",24,"No LeaderGroup leaders:
Hugh Jones (Con)
Michael Tuffrey (Lib Dem)
Anna Tapsall (Lab)","Henry Gilby","No Overall Control"
"1131.2","Lambeth",1994,"Liberal Democrats",24,"No LeaderGroup leaders:
Hugh Jones (Con)
Michael Tuffrey (Lib Dem)
Anna Tapsall (Lab)","Henry Gilby","No Overall Control"
"1131.3","Lambeth",1994,"Conservative",16,"No LeaderGroup leaders:
Hugh Jones (Con)
Michael Tuffrey (Lib Dem)
Anna Tapsall (Lab)","Henry Gilby","No Overall Control"
"1132.1","Lambeth",1995,"Liberal Democrats",24,"No LeaderGroup leaders:
Jim Dickson (Lab)
Michael Tuffrey (Lib Dem)
Hugh Jones (Con)","Heather Rabbatts","No Overall Control"
"1132.2","Lambeth",1995,"Labour Party",24,"No LeaderGroup leaders:
Jim Dickson (Lab)
Michael Tuffrey (Lib Dem)
Hugh Jones (Con)","Heather Rabbatts","No Overall Control"
"1132.3","Lambeth",1995,"Conservative",16,"No LeaderGroup leaders:
Jim Dickson (Lab)
Michael Tuffrey (Lib Dem)
Hugh Jones (Con)","Heather Rabbatts","No Overall Control"
"1133.1","Lambeth",1996,"Liberal Democrats",25,"No LeaderGroup leaders:
Jim Dickson (Lab)
Michael Tuffrey (Lib Dem)
Hugh Jones (Con)","Heather Rabbatts","No Overall Control"
"1133.2","Lambeth",1996,"Labour Party",24,"No LeaderGroup leaders:
Jim Dickson (Lab)
Michael Tuffrey (Lib Dem)
Hugh Jones (Con)","Heather Rabbatts","No Overall Control"
"1133.3","Lambeth",1996,"Conservative",14,"No LeaderGroup leaders:
Jim Dickson (Lab)
Michael Tuffrey (Lib Dem)
Hugh Jones (Con)","Heather Rabbatts","No Overall Control"
"1133.4","Lambeth",1996,"Independent",1,"No LeaderGroup leaders:
Jim Dickson (Lab)
Michael Tuffrey (Lib Dem)
Hugh Jones (Con)","Heather Rabbatts","No Overall Control"
"1134.1","Lambeth",1997,"Liberal Democrats",25,"No LeaderGroup leaders:
Jim Dickson (Lab)
Michael Tuffrey (Lib Dem)
Hugh Jones (Con)","Heather Rabbatts","No Overall Control"
"1134.2","Lambeth",1997,"Labour Party",24,"No LeaderGroup leaders:
Jim Dickson (Lab)
Michael Tuffrey (Lib Dem)
Hugh Jones (Con)","Heather Rabbatts","No Overall Control"
"1134.3","Lambeth",1997,"Conservative",14,"No LeaderGroup leaders:
Jim Dickson (Lab)
Michael Tuffrey (Lib Dem)
Hugh Jones (Con)","Heather Rabbatts","No Overall Control"
"1134.4","Lambeth",1997,"Independent",1,"No LeaderGroup leaders:
Jim Dickson (Lab)
Michael Tuffrey (Lib Dem)
Hugh Jones (Con)","Heather Rabbatts","No Overall Control"
"1135.1","Lambeth",1998,"Labour Party",41,"Jim Dickson","Heather Rabbatts","Labour"
"1135.2","Lambeth",1998,"Liberal Democrats",18,"Jim Dickson","Heather Rabbatts","Labour"
"1135.3","Lambeth",1998,"Conservative",5,"Jim Dickson","Heather Rabbatts","Labour"
"1136.1","Lambeth",1999,"Labour Party",40,"Jim Dickson","Heather Rabbatts","Labour"
"1136.2","Lambeth",1999,"Liberal Democrats",18,"Jim Dickson","Heather Rabbatts","Labour"
"1136.3","Lambeth",1999,"Conservative",5,"Jim Dickson","Heather Rabbatts","Labour"
"1137.1","Lambeth",2000,"Labour Party",41,"Tom Franklin","Heather du Quesnay","Labour"
"1137.2","Lambeth",2000,"Liberal Democrats",18,"Tom Franklin","Heather du Quesnay","Labour"
"1137.3","Lambeth",2000,"Conservative",5,"Tom Franklin","Heather du Quesnay","Labour"
"1138.1","Lambeth",2001,"Labour Party",41,"Tom Franklin","Faith Boardman","Labour"
"1138.2","Lambeth",2001,"Liberal Democrats",18,"Tom Franklin","Faith Boardman","Labour"
"1138.3","Lambeth",2001,"Conservative",5,"Tom Franklin","Faith Boardman","Labour"
"1139.1","Lambeth",2002,"Labour Party",28,"Peter Truesdale","Faith Boardman","No Overall Control"
"1139.2","Lambeth",2002,"Liberal Democrats",28,"Peter Truesdale","Faith Boardman","No Overall Control"
"1139.3","Lambeth",2002,"Conservative",7,"Peter Truesdale","Faith Boardman","No Overall Control"
"1140.1","Lambeth",2003,"Labour Party",29,"Peter Truesdale","Faith Boardman","No Overall Control"
"1140.2","Lambeth",2003,"Liberal Democrats",27,"Peter Truesdale","Faith Boardman","No Overall Control"
"1140.3","Lambeth",2003,"Conservative",7,"Peter Truesdale","Faith Boardman","No Overall Control"
"1141.1","Lambeth",2004,"Labour Party",29,"Peter Truesdale","Faith Boardman","No Overall Control"
"1141.2","Lambeth",2004,"Liberal Democrats",27,"Peter Truesdale","Faith Boardman","No Overall Control"
"1141.3","Lambeth",2004,"Conservative",7,"Peter Truesdale","Faith Boardman","No Overall Control"
"1142.1","Lambeth",2005,"Labour Party",29,"Peter Truesdale","Andrew Webster","No Overall Control"
"1142.2","Lambeth",2005,"Liberal Democrats",27,"Peter Truesdale","Andrew Webster","No Overall Control"
"1142.3","Lambeth",2005,"Conservative",7,"Peter Truesdale","Andrew Webster","No Overall Control"
"1143.1","Lambeth",2006,"Labour Party",39,"Steve Reed","Derrick Anderson","Labour"
"1143.2","Lambeth",2006,"Liberal Democrats",17,"Steve Reed","Derrick Anderson","Labour"
"1143.3","Lambeth",2006,"Conservative",6,"Steve Reed","Derrick Anderson","Labour"
"1143.4","Lambeth",2006,"Green Party",1,"Steve Reed","Derrick Anderson","Labour"
"1144.1","Lambeth",2007,"Labour Party",39,"Steve Reed","Derrick Anderson","Labour"
"1144.2","Lambeth",2007,"Liberal Democrats",17,"Steve Reed","Derrick Anderson","Labour"
"1144.3","Lambeth",2007,"Conservative",6,"Steve Reed","Derrick Anderson","Labour"
"1144.4","Lambeth",2007,"Green Party",1,"Steve Reed","Derrick Anderson","Labour"
"1145.1","Lambeth",2008,"Labour Party",38,"Steve Reed","Derrick Anderson","Labour"
"1145.2","Lambeth",2008,"Liberal Democrats",18,"Steve Reed","Derrick Anderson","Labour"
"1145.3","Lambeth",2008,"Conservative",6,"Steve Reed","Derrick Anderson","Labour"
"1145.4","Lambeth",2008,"Green Party",1,"Steve Reed","Derrick Anderson","Labour"
"1146.1","Lambeth",2009,"Labour Party",38,"Steve Reed","Derrick Anderson","Labour"
"1146.2","Lambeth",2009,"Liberal Democrats",18,"Steve Reed","Derrick Anderson","Labour"
"1146.3","Lambeth",2009,"Conservative",6,"Steve Reed","Derrick Anderson","Labour"
"1146.4","Lambeth",2009,"Green Party",1,"Steve Reed","Derrick Anderson","Labour"
"1147.1","Lambeth",2010,"Labour Party",44,"Steve Reed","Derrick Anderson","Labour"
"1147.2","Lambeth",2010,"Liberal Democrats",15,"Steve Reed","Derrick Anderson","Labour"
"1147.3","Lambeth",2010,"Conservative",4,"Steve Reed","Derrick Anderson","Labour"
"1148.1","Lambeth",2011,"Labour Party",43,"Steve Reed","Derrick Anderson","Labour"
"1148.2","Lambeth",2011,"Liberal Democrats",15,"Steve Reed","Derrick Anderson","Labour"
"1148.3","Lambeth",2011,"Conservative",4,"Steve Reed","Derrick Anderson","Labour"
"1148.4","Lambeth",2011,"Independent",1,"Steve Reed","Derrick Anderson","Labour"
"1149.1","Lambeth",2012,"Labour Party",43,"Lib Peck","Derrick Anderson","Labour"
"1149.2","Lambeth",2012,"Liberal Democrats",15,"Lib Peck","Derrick Anderson","Labour"
"1149.3","Lambeth",2012,"Conservative",4,"Lib Peck","Derrick Anderson","Labour"
"1149.4","Lambeth",2012,"Independent",1,"Lib Peck","Derrick Anderson","Labour"
"1150.1","Lambeth",2013,"Labour Party",43,"Lib Peck","Derrick Anderson","Labour"
"1150.2","Lambeth",2013,"Liberal Democrats",15,"Lib Peck","Derrick Anderson","Labour"
"1150.3","Lambeth",2013,"Conservative",4,"Lib Peck","Derrick Anderson","Labour"
"1150.4","Lambeth",2013,"Independent",1,"Lib Peck","Derrick Anderson","Labour"
"1151.1","Lambeth",2014,"Labour Party",59,"Lib Peck","Derrick Anderson","Labour"
"1151.2","Lambeth",2014,"Conservative",3,"Lib Peck","Derrick Anderson","Labour"
"1151.3","Lambeth",2014,"Green Party",1,"Lib Peck","Derrick Anderson","Labour"
"1152.1","Lambeth",2015,"Labour Party",59,"Lib Peck","Sean Harriss","Labour"
"1152.2","Lambeth",2015,"Conservative",3,"Lib Peck","Sean Harriss","Labour"
"1152.3","Lambeth",2015,"Green Party",1,"Lib Peck","Sean Harriss","Labour"
"1153.1","Lambeth",2016,"Labour Party",59,"Lib Peck","Sean Harriss","Labour"
"1153.2","Lambeth",2016,"Conservative",3,"Lib Peck","Sean Harriss","Labour"
"1153.3","Lambeth",2016,"Green Party",1,"Lib Peck","Sean Harriss","Labour"
"1154.1","Lambeth",2017,"Labour Party",58,"Lib Peck","Sean Harriss","Labour"
"1154.2","Lambeth",2017,"Conservative",3,"Lib Peck","Sean Harriss","Labour"
"1154.3","Lambeth",2017,"Green Party",1,"Lib Peck","Sean Harriss","Labour"
"1155.1","Lambeth",2018,"Labour Party",57,"Jack Hopkins","Andrew Travers","Labour"
"1155.2","Lambeth",2018,"Green Party",5,"Jack Hopkins","Andrew Travers","Labour"
"1155.3","Lambeth",2018,"Conservative",1,"Jack Hopkins","Andrew Travers","Labour"
"1156.1","Lewisham",1964,"Labour Party",45,"Fred Winslade","Alan Milner-Smith","Labour"
"1156.2","Lewisham",1964,"Conservative",15,"Fred Winslade","Alan Milner-Smith","Labour"
"1157.1","Lewisham",1965,"Labour Party",45,"Fred Winslade","Alan Milner-Smith","Labour"
"1157.2","Lewisham",1965,"Conservative",15,"Fred Winslade","Alan Milner-Smith","Labour"
"1158.1","Lewisham",1966,"Labour Party",45,"Fred Winslade","Alan Milner-Smith","Labour"
"1158.2","Lewisham",1966,"Conservative",15,"Fred Winslade","Alan Milner-Smith","Labour"
"1159.1","Lewisham",1967,"Labour Party",45,"Fred Winslade","Alan Milner-Smith","Labour"
"1159.2","Lewisham",1967,"Conservative",15,"Fred Winslade","Alan Milner-Smith","Labour"
"1160.1","Lewisham",1968,"Conservative",44,"Norman Dinsdale Banks","Alan Milner-Smith","Conservative"
"1160.2","Lewisham",1968,"Labour Party",16,"Norman Dinsdale Banks","Alan Milner-Smith","Conservative"
"1161.1","Lewisham",1969,"Conservative",44,"Norman Dinsdale Banks","Alan Milner-Smith","Conservative"
"1161.2","Lewisham",1969,"Labour Party",16,"Norman Dinsdale Banks","Alan Milner-Smith","Conservative"
"1162.1","Lewisham",1970,"Conservative",44,"Norman Dinsdale Banks","Alan Milner-Smith","Conservative"
"1162.2","Lewisham",1970,"Labour Party",16,"Norman Dinsdale Banks","Alan Milner-Smith","Conservative"
"1163.1","Lewisham",1971,"Labour Party",56,"Andy Hawkins","John French","Labour"
"1163.2","Lewisham",1971,"Conservative",4,"Andy Hawkins","John French","Labour"
"1164.1","Lewisham",1972,"Labour Party",56,"Andy Hawkins","John French","Labour"
"1164.2","Lewisham",1972,"Conservative",4,"Andy Hawkins","John French","Labour"
"1165.1","Lewisham",1973,"Labour Party",56,"Andy Hawkins","John French","Labour"
"1165.2","Lewisham",1973,"Conservative",4,"Andy Hawkins","John French","Labour"
"1166.1","Lewisham",1974,"Labour Party",49,"Andy Hawkins","John French","Labour"
"1166.2","Lewisham",1974,"Conservative",11,"Andy Hawkins","John French","Labour"
"1167.1","Lewisham",1975,"Labour Party",49,"Andy Hawkins","John French","Labour"
"1167.2","Lewisham",1975,"Conservative",11,"Andy Hawkins","John French","Labour"
"1168.1","Lewisham",1976,"Labour Party",49,"Andy Hawkins","Frank Birch","Labour"
"1168.2","Lewisham",1976,"Conservative",11,"Andy Hawkins","Frank Birch","Labour"
"1169.1","Lewisham",1977,"Labour Party",49,"Andy Hawkins","Frank Birch","Labour"
"1169.2","Lewisham",1977,"Conservative",11,"Andy Hawkins","Frank Birch","Labour"
"1170.1","Lewisham",1978,"Labour Party",44,"Andy Hawkins","Frank Birch","Labour"
"1170.2","Lewisham",1978,"Conservative",23,"Andy Hawkins","Frank Birch","Labour"
"1171.1","Lewisham",1979,"Labour Party",44,"Andy Hawkins","Frank Birch","Labour"
"1171.2","Lewisham",1979,"Conservative",23,"Andy Hawkins","Frank Birch","Labour"
"1172.1","Lewisham",1980,"Labour Party",44,"Andy Hawkins","Frank Birch","Labour"
"1172.2","Lewisham",1980,"Conservative",23,"Andy Hawkins","Frank Birch","Labour"
"1173.1","Lewisham",1981,"Labour Party",44,"Andy Hawkins","Frank Birch","Labour"
"1173.2","Lewisham",1981,"Conservative",23,"Andy Hawkins","Frank Birch","Labour"
"1174.1","Lewisham",1982,"Labour Party",41,"Andy Hawkins","John Harwood","Labour"
"1174.2","Lewisham",1982,"Conservative",26,"Andy Hawkins","John Harwood","Labour"
"1175.1","Lewisham",1983,"Labour Party",41,"Andy Hawkins","John Harwood","Labour"
"1175.2","Lewisham",1983,"Conservative",26,"Andy Hawkins","John Harwood","Labour"
"1176.1","Lewisham",1984,"Labour Party",41,"Ron Stockbridge","John Harwood","Labour"
"1176.2","Lewisham",1984,"Conservative",26,"Ron Stockbridge","John Harwood","Labour"
"1177.1","Lewisham",1985,"Labour Party",41,"Dave Sullivan","John Harwood","Labour"
"1177.2","Lewisham",1985,"Conservative",26,"Dave Sullivan","John Harwood","Labour"
"1178.1","Lewisham",1986,"Labour Party",50,"Dave Sullivan","John Harwood","Labour"
"1178.2","Lewisham",1986,"Conservative",17,"Dave Sullivan","John Harwood","Labour"
"1179.1","Lewisham",1987,"Labour Party",50,"Dave Sullivan","John Harwood","Labour"
"1179.2","Lewisham",1987,"Conservative",17,"Dave Sullivan","John Harwood","Labour"
"1180.1","Lewisham",1988,"Labour Party",50,"Steve Bullock","John Harwood","Labour"
"1180.2","Lewisham",1988,"Conservative",17,"Steve Bullock","John Harwood","Labour"
"1181.1","Lewisham",1989,"Labour Party",50,"Steve Bullock","Terry Hanafin","Labour"
"1181.2","Lewisham",1989,"Conservative",17,"Steve Bullock","Terry Hanafin","Labour"
"1182.1","Lewisham",1990,"Labour Party",58,"Steve Bullock","Terry Hanafin","Labour"
"1182.2","Lewisham",1990,"Conservative",6,"Steve Bullock","Terry Hanafin","Labour"
"1182.3","Lewisham",1990,"Liberal Democrats",3,"Steve Bullock","Terry Hanafin","Labour"
"1183.1","Lewisham",1991,"Labour Party",58,"Steve Bullock","Terry Hanafin","Labour"
"1183.2","Lewisham",1991,"Conservative",6,"Steve Bullock","Terry Hanafin","Labour"
"1183.3","Lewisham",1991,"Liberal Democrats",3,"Steve Bullock","Terry Hanafin","Labour"
"1184.1","Lewisham",1992,"Labour Party",58,"Steve Bullock","Terry Hanafin","Labour"
"1184.2","Lewisham",1992,"Conservative",6,"Steve Bullock","Terry Hanafin","Labour"
"1184.3","Lewisham",1992,"Liberal Democrats",3,"Steve Bullock","Terry Hanafin","Labour"
"1185.1","Lewisham",1993,"Labour Party",58,"Margaret Moran","Terry Hanafin","Labour"
"1185.2","Lewisham",1993,"Conservative",6,"Margaret Moran","Terry Hanafin","Labour"
"1185.3","Lewisham",1993,"Liberal Democrats",3,"Margaret Moran","Terry Hanafin","Labour"
"1186.1","Lewisham",1994,"Labour Party",63,"Margaret Moran","Barry Quirk","Labour"
"1186.2","Lewisham",1994,"Liberal Democrats",3,"Margaret Moran","Barry Quirk","Labour"
"1186.3","Lewisham",1994,"Conservative",1,"Margaret Moran","Barry Quirk","Labour"
"1187.1","Lewisham",1995,"Labour Party",63,"Jim Mallory","Barry Quirk","Labour"
"1187.2","Lewisham",1995,"Liberal Democrats",2,"Jim Mallory","Barry Quirk","Labour"
"1187.3","Lewisham",1995,"Independent Labour",1,"Jim Mallory","Barry Quirk","Labour"
"1187.4","Lewisham",1995,"Conservative",1,"Jim Mallory","Barry Quirk","Labour"
"1188.1","Lewisham",1996,"Labour Party",62,"Jim Mallory","Barry Quirk","Labour"
"1188.2","Lewisham",1996,"Liberal Democrats",2,"Jim Mallory","Barry Quirk","Labour"
"1188.3","Lewisham",1996,"Militant Labour",1,"Jim Mallory","Barry Quirk","Labour"
"1188.4","Lewisham",1996,"Socialist Labour",1,"Jim Mallory","Barry Quirk","Labour"
"1188.5","Lewisham",1996,"Conservative",1,"Jim Mallory","Barry Quirk","Labour"
"1189.1","Lewisham",1997,"Labour Party",62,"Jim Mallory","Barry Quirk","Labour"
